เวลา (วินาที),ระยะที่วัดได้ (เมตร),ความเร็ว (m/s),Error มุม (rad)
8.401,2.9423,0.08,-0.0024
8.451,2.9466,0.08,-0.0028
8.501,2.9509,0.08,-0.0026
8.551,2.9573,0.08,-0.004
8.6,2.9616,0.08,-0.0038
8.651,2.968,0.08,-0.0051
8.7,2.9723,0.08,-0.0044
8.751,2.9787,0.08,-0.0047
8.8,2.9829,0.08,-0.0045
8.851,2.9893,0.08,-0.0049
8.901,2.9937,0.08,-0.0047
8.951,3.0,0.08,-0.0042
