เวลา (วินาที),ระยะที่วัดได้ (เมตร),ความเร็ว (m/s),Error มุม (rad)
8.601,2.9464,0.08,0.0075
8.65,2.9506,0.08,0.0061
8.701,2.957,0.08,0.0068
8.75,2.9612,0.08,0.0061
8.801,2.9676,0.08,0.0072
8.851,2.9718,0.08,0.0063
8.901,2.9781,0.08,0.0056
8.95,2.9824,0.08,0.0059
9.001,2.9887,0.08,0.0054
9.051,2.9929,0.08,0.0061
9.101,2.9992,0.08,0.0049
